id,name,normdaten,verweis_innerhalb_szdper
SZDPER.572,"Haushofer, Karl",http://d-nb.info/gnd/118547119 http://www.wikidata.org/entity/Q76746 https://de.wikipedia.org/wiki/Karl_Haushofer,nein
SZDPER.573,"Haushofer, Martha",http://d-nb.info/gnd/116539674 http://www.wikidata.org/entity/Q58665729 https://de.wikipedia.org/wiki/Martha_Haushofer,nein
SZDPER.574,"Haushofer, Max",http://d-nb.info/gnd/11936803X http://www.wikidata.org/entity/Q119149 https://de.wikipedia.org/wiki/Max_Haushofer_Jr.,nein
SZDPER.580,"Hegel, Georg Wilhelm Friedrich",http://d-nb.info/gnd/118547739 http://www.wikidata.org/entity/Q9235 https://de.wikipedia.org/wiki/Georg_Wilhelm_Friedrich_Hegel,nein
SZDPER.583,"Heinrich IV., Frankreich, König",http://d-nb.info/gnd/118548174 http://www.wikidata.org/entity/Q936976 https://de.wikipedia.org/wiki/Heinrich_IV._%28Frankreich%29,nein
SZDPER.600,"Herron, George Davis",http://d-nb.info/gnd/124360955 http://www.wikidata.org/entity/Q5538309 https://de.wikipedia.org/wiki/George_D._Herron,nein
SZDPER.603,"Hertz, Heinrich",http://d-nb.info/gnd/11855008X http://www.wikidata.org/entity/Q41257 https://de.wikipedia.org/wiki/Heinrich_Hertz,nein
SZDPER.605,"Herzen, Alexander",http://d-nb.info/gnd/118639218 http://www.wikidata.org/entity/Q201221 https://de.wikipedia.org/wiki/Alexander_Iwanowitsch_Herzen,nein
SZDPER.606,"Herzl, Theodor",http://d-nb.info/gnd/118550241 http://www.wikidata.org/entity/Q44003 https://de.wikipedia.org/wiki/Theodor_Herzl,nein
SZDPER.607,"Hess, Rudolf",http://d-nb.info/gnd/11855039X http://www.wikidata.org/entity/Q75866 https://de.wikipedia.org/wiki/Rudolf_He%C3%9F,nein
SZDPER.612,"Heymel, Alfred Walter",http://d-nb.info/gnd/118550713 http://www.wikidata.org/entity/Q1285464 https://de.wikipedia.org/wiki/Alfred_Walter_Heymel,nein
SZDPER.627,"Hoffmann, Paul Theodor",http://d-nb.info/gnd/116941383 http://www.wikidata.org/entity/Q59627853,nein
SZDPER.631,"Hohenberg, Ernst von",http://d-nb.info/gnd/1057926787 http://www.wikidata.org/entity/Q78659 https://de.wikipedia.org/wiki/Ernst_Hohenberg,nein
SZDPER.632,"Hohenberg, Maximilian von",http://d-nb.info/gnd/130183474 http://www.wikidata.org/entity/Q78596 https://de.wikipedia.org/wiki/Maximilian_Hohenberg,nein
SZDPER.639,Homer,http://d-nb.info/gnd/11855333X http://www.wikidata.org/entity/Q6691 https://de.wikipedia.org/wiki/Homer,nein
SZDPER.640,"Horovitz, Leopold",http://d-nb.info/gnd/117010030 http://www.wikidata.org/entity/Q2314507 https://de.wikipedia.org/wiki/Leopold_Horovitz,nein
SZDPER.644,"House, Edward Mandell",http://d-nb.info/gnd/118775065 http://www.wikidata.org/entity/Q704368 https://de.wikipedia.org/wiki/Edward_Mandell_House,nein
SZDPER.650,"Hugenberg, Alfred",http://d-nb.info/gnd/118554565 http://www.wikidata.org/entity/Q65121 https://de.wikipedia.org/wiki/Alfred_Hugenberg,nein
SZDPER.651,"Hughes, David Edward",http://d-nb.info/gnd/117054771 http://www.wikidata.org/entity/Q366078 https://de.wikipedia.org/wiki/David_Edward_Hughes,nein
SZDPER.660,"Iffland, August Wilhelm",http://d-nb.info/gnd/118555324 http://www.wikidata.org/entity/Q215115 https://de.wikipedia.org/wiki/August_Wilhelm_Iffland,nein
SZDPER.663,"Izambard, Georges",http://d-nb.info/gnd/1145426379,nein
SZDPER.666,"Jacobowski, Ludwig",http://d-nb.info/gnd/118711148 http://www.wikidata.org/entity/Q1874611 https://de.wikipedia.org/wiki/Ludwig_Jacobowski,nein
SZDPER.668,"Jaeger, Hans Henrik",http://d-nb.info/gnd/118121227 http://www.wikidata.org/entity/Q924021 https://de.wikipedia.org/wiki/Hans_J%C3%A6ger,nein
SZDPER.678,"Jodl, Friedrich",http://d-nb.info/gnd/119305429 http://www.wikidata.org/entity/Q91919 https://de.wikipedia.org/wiki/Friedrich_Jodl,nein
SZDPER.679,"Johann II, Fürst von Liechtenstein",http://d-nb.info/gnd/117003360 http://www.wikidata.org/entity/Q317016 https://de.wikipedia.org/wiki/Johann_II._%28Liechtenstein%29,nein
SZDPER.681,"John I., König von England",http://d-nb.info/gnd/118639927 http://www.wikidata.org/entity/Q129308 https://de.wikipedia.org/wiki/Johann_Ohneland,nein
SZDPER.686,"Joseph II., Kaiser des Heiligen Römischen Reiches",http://d-nb.info/gnd/118558404 http://www.wikidata.org/entity/Q76555 https://de.wikipedia.org/wiki/Joseph_II.,nein
SZDPER.699,"Kálmán, Emmerich",http://d-nb.info/gnd/118559605 http://www.wikidata.org/entity/Q153818 https://de.wikipedia.org/wiki/Emmerich_K%C3%A1lm%C3%A1n,nein
SZDPER.701,"Kapp, Wolfgang",http://d-nb.info/gnd/118891502 http://www.wikidata.org/entity/Q58863 https://de.wikipedia.org/wiki/Wolfgang_Kapp,nein
SZDPER.703,"Karl I., Kaiser von Österreich",http://d-nb.info/gnd/118560077 http://www.wikidata.org/entity/Q51068 https://de.wikipedia.org/wiki/Karl_I._%28%C3%96sterreich-Ungarn%29,nein
SZDPER.705,"Karsavina, Tamara P.",http://d-nb.info/gnd/143685376 http://www.wikidata.org/entity/Q231316 https://de.wikipedia.org/wiki/Tamara_Platonowna_Karsawina,nein
SZDPER.718,"Kern, Erwin",http://d-nb.info/gnd/133514897 http://www.wikidata.org/entity/Q1363110 https://de.wikipedia.org/wiki/Erwin_Kern_%28Attent%C3%A4ter%29,nein
SZDPER.726,"Khnopff, Fernand",http://d-nb.info/gnd/118561871 http://www.wikidata.org/entity/Q559559 https://de.wikipedia.org/wiki/Fernand_Khnopff,nein
SZDPER.727,"Kierkegaard, Søren",http://d-nb.info/gnd/118562002 http://www.wikidata.org/entity/Q6512 https://de.wikipedia.org/wiki/S%C3%B8ren_Kierkegaard,nein
SZDPER.739,"Klimt, Gustav",http://d-nb.info/gnd/118563289 http://www.wikidata.org/entity/Q34661 https://de.wikipedia.org/wiki/Gustav_Klimt,nein
SZDPER.750,"Korn, Arthur",http://d-nb.info/gnd/116340223 http://www.wikidata.org/entity/Q68533 https://de.wikipedia.org/wiki/Arthur_Korn,nein
SZDPER.759,"Králík, Klement",,nein
SZDPER.766,"Krupp von Bohlen und Halbach, Gustav",http://d-nb.info/gnd/116574216 http://www.wikidata.org/entity/Q155871 https://de.wikipedia.org/wiki/Gustav_Krupp_von_Bohlen_und_Halbach,nein
SZDPER.769,"Kun, Béla",http://d-nb.info/gnd/118778218 http://www.wikidata.org/entity/Q151646 https://de.wikipedia.org/wiki/B%C3%A9la_Kun,nein
SZDPER.770,Kuro Masu,http://d-nb.info/gnd/125005539,nein
SZDPER.781,"Lansing, Robert",http://d-nb.info/gnd/118778757 http://www.wikidata.org/entity/Q361366 https://de.wikipedia.org/wiki/Robert_Lansing_%28Politiker%29,nein
SZDPER.784,"Larmeroux, Jean",http://d-nb.info/gnd/116737212,nein
SZDPER.786,"Laski, Harold Joseph",http://d-nb.info/gnd/119192616 http://www.wikidata.org/entity/Q470890 https://de.wikipedia.org/wiki/Harold_Laski,nein
SZDPER.794,"Lawrence, Thomas E.",http://d-nb.info/gnd/118570366 http://www.wikidata.org/entity/Q170596 https://de.wikipedia.org/wiki/T._E._Lawrence,nein
SZDPER.800,"Leibl, Wilhelm",http://d-nb.info/gnd/118571222 http://www.wikidata.org/entity/Q704661 https://de.wikipedia.org/wiki/Wilhelm_Leibl,nein
SZDPER.808,"Lenbach, Franz von",http://d-nb.info/gnd/118571516 http://www.wikidata.org/entity/Q585323 https://de.wikipedia.org/wiki/Franz_von_Lenbach,nein
SZDPER.809,Lenin,http://d-nb.info/gnd/118640402 http://www.wikidata.org/entity/Q1394 https://de.wikipedia.org/wiki/Wladimir_Iljitsch_Lenin,nein
SZDPER.814,"Leopold II., Kaiser des Heiligen Römischen Reiches",http://d-nb.info/gnd/118571877 http://www.wikidata.org/entity/Q151321 https://de.wikipedia.org/wiki/Leopold_II._%28HRR%29,nein
SZDPER.829,"Lilien, Jacob",http://d-nb.info/gnd/115380350X,nein
SZDPER.831,"Lilienthal, Otto",http://d-nb.info/gnd/118572970 http://www.wikidata.org/entity/Q57162 https://de.wikipedia.org/wiki/Otto_Lilienthal,nein
SZDPER.834,"Linde, Carl von",http://d-nb.info/gnd/11857311X http://www.wikidata.org/entity/Q61864 https://de.wikipedia.org/wiki/Carl_von_Linde,nein
SZDPER.837,"Lister, Joseph",http://d-nb.info/gnd/118573535 http://www.wikidata.org/entity/Q155768 https://de.wikipedia.org/wiki/Joseph_Lister%2C_1._Baron_Lister,nein
SZDPER.841,"Paris Lodron, Erzbischof von Salzburg",http://d-nb.info/gnd/11873931X http://www.wikidata.org/entity/Q877419 https://de.wikipedia.org/wiki/Paris_von_Lodron,nein
SZDPER.842,"Loeffler, Charles Martin",http://d-nb.info/gnd/119141426 http://www.wikidata.org/entity/Q1065471 https://de.wikipedia.org/wiki/Charles_Martin_Loeffler,nein
SZDPER.849,"Loti, Pierre",http://d-nb.info/gnd/118780522 http://www.wikidata.org/entity/Q311854 https://de.wikipedia.org/wiki/Pierre_Loti,nein
SZDPER.851,"Louis Philippe II., Herzog von Orléans",http://d-nb.info/gnd/11882046X http://www.wikidata.org/entity/Q311637 https://de.wikipedia.org/wiki/Louis-Philippe_II._Joseph_de_Bourbon%2C_duc_d%E2%80%99Orl%C3%A9ans,nein
SZDPER.853,"Louÿs, Pierre",http://d-nb.info/gnd/118780557 http://www.wikidata.org/entity/Q334958 https://de.wikipedia.org/wiki/Pierre_Lou%C3%BFs,nein
SZDPER.860,"Ludendorff, Erich",http://d-nb.info/gnd/118574841 http://www.wikidata.org/entity/Q58579 https://de.wikipedia.org/wiki/Erich_Ludendorff,nein
SZDPER.861,"Ludwig XIV., König von Frankreich",http://d-nb.info/gnd/118816829 http://www.wikidata.org/entity/Q7742 https://de.wikipedia.org/wiki/Ludwig_XIV.,nein
SZDPER.868,"Lueger, Karl",http://d-nb.info/gnd/118729578 http://www.wikidata.org/entity/Q78531 https://de.wikipedia.org/wiki/Karl_Lueger,nein
SZDPER.870,"Luise, Königin von Preußen",http://d-nb.info/gnd/118575155 http://www.wikidata.org/entity/Q156723 https://de.wikipedia.org/wiki/Luise_von_Mecklenburg-Strelitz,nein
SZDPER.871,"Lumière, Louis",http://d-nb.info/gnd/119300753 http://www.wikidata.org/entity/Q1962284 https://de.wikipedia.org/wiki/Louis_Lumi%C3%A8re,nein
SZDPER.872,"Lunatscharski, Anatoli",http://d-nb.info/gnd/118818694 http://www.wikidata.org/entity/Q18809 https://de.wikipedia.org/wiki/Anatoli_Wassiljewitsch_Lunatscharski,nein
SZDPER.873,"Lunt, Alfred",http://d-nb.info/gnd/12853883X http://www.wikidata.org/entity/Q1246683 https://de.wikipedia.org/wiki/Alfred_Lunt,nein
SZDPER.878,"Macartney, Carlile A.",http://d-nb.info/gnd/121930769 http://www.wikidata.org/entity/Q5041292,nein
SZDPER.900,Mark Aurel,http://d-nb.info/gnd/118577468 http://www.wikidata.org/entity/Q1430 https://de.wikipedia.org/wiki/Mark_Aurel,nein
