datei,kontext,zeile,alte_referenz,neue_referenz,aktion
data/Aufsatzablage/SZDESS.xml,SZDESS.118,10716,"author/@ref=""#SZDPER.118""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.120,10910,"author/@ref=""#SZDPER.120""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.124,11258,"author/@ref=""#SZDPER.124""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.127,11539,"author/@ref=""#SZDPER.127""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.128,11618,"author/@ref=""#SZDPER.128""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.129,11716,"author/@ref=""#SZDPER.129""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.131,11900,"author/@ref=""#SZDPER.131""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.133,12080,"author/@ref=""#SZDPER.133""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.135,12267,"author/@ref=""#SZDPER.135""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.136,12346,"author/@ref=""#SZDPER.136""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.138,12527,"author/@ref=""#SZDPER.138""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.139,12622,"author/@ref=""#SZDPER.139""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.140,12719,"author/@ref=""#SZDPER.140""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.141,12801,"author/@ref=""#SZDPER.141""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.142,12880,"author/@ref=""#SZDPER.142""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.144,13060,"author/@ref=""#SZDPER.144""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.145,13159,"author/@ref=""#SZDPER.145""","author/@ref=""#SZDPER.1555""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.146,13247,"author/@ref=""#SZDPER.146""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.147,13326,"author/@ref=""#SZDPER.147""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.149,13495,"author/@ref=""#SZDPER.149""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.150,13593,"author/@ref=""#SZDPER.150""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.151,13689,"author/@ref=""#SZDPER.151""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.153,13868,"author/@ref=""#SZDPER.153""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.155,14032,"author/@ref=""#SZDPER.155""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.156,14127,"author/@ref=""#SZDPER.156""","author/@ref=""#SZDPER.1167""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.157,14210,"author/@ref=""#SZDPER.157""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.159,14394,"author/@ref=""#SZDPER.159""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.161,14560,"author/@ref=""#SZDPER.161""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.162,14660,"author/@ref=""#SZDPER.162""","author/@ref=""#SZDPER.1167""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.163,14742,"author/@ref=""#SZDPER.163""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.164,14840,"author/@ref=""#SZDPER.164""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.166,15003,"author/@ref=""#SZDPER.166""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.167,15085,"author/@ref=""#SZDPER.167""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.168,15180,"author/@ref=""#SZDPER.168""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.170,15360,"author/@ref=""#SZDPER.170""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.171,15459,"author/@ref=""#SZDPER.171""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.172,15563,"author/@ref=""#SZDPER.172""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
