date,szdper,name,status
2026-09-24,SZDPER.273,"Daladier, Edouard",removed
2026-09-24,SZDPER.281,"Darnley, Henry Stuart",removed
2026-09-24,SZDPER.289,"Defoe, Daniel",removed
2026-09-24,SZDPER.290,"Defregger, Franz von",removed
2026-09-24,SZDPER.307,"Dollfuß, Engelbert",removed
2026-09-24,SZDPER.309,Donatello,removed
2026-09-24,SZDPER.325,"Duncan, Isadora",removed
2026-09-24,SZDPER.328,"Duse, Eleonora",removed
2026-09-24,SZDPER.329,"Duvernois, Henri",removed
2026-09-24,SZDPER.330,"Dvořák, Antonín",removed
2026-09-24,SZDPER.341,"Annin, Robert Edwards",removed
2026-09-24,SZDPER.345,"Ehrlich, Paul",removed
2026-09-24,SZDPER.355,El Greco,removed
2026-09-24,SZDPER.357,"Elisabeth I., Königin von England",removed
2026-09-24,SZDPER.362,"Ensor, James",removed
2026-09-24,SZDPER.365,"Erdődy, Anna Maria",removed
2026-09-24,SZDPER.366,"Erhardt, Hermann",removed
2026-09-24,SZDPER.367,"Erzberger, Matthias",removed
2026-09-24,SZDPER.371,"Eulenburg und Hertefeld, Philipp zu",removed
2026-09-24,SZDPER.379,"Falke, Gustav",removed
2026-09-24,SZDPER.387,"Ferdinand I., Kaiser von Österreich",removed
2026-09-24,SZDPER.391,"Fester, Richard",removed
2026-09-24,SZDPER.393,"Fey, Emil",removed
2026-09-24,SZDPER.419,"Frank von Fürstenwerth, Adolf",removed
2026-09-24,SZDPER.428,"Franz Joseph I., Kaiser von Österreich",removed
2026-09-24,SZDPER.440,"Furtwängler, Wilhelm",removed
2026-09-24,SZDPER.444,Sueton,removed
2026-09-24,SZDPER.447,"Galsworthy, John",removed
2026-09-24,SZDPER.465,"Lloyd George, David",removed
2026-09-24,SZDPER.468,"Germains, Victor Wallace",removed
2026-09-24,SZDPER.472,"Gibbon, Edward",removed
2026-09-24,SZDPER.479,"Giraudoux, Jean",removed
2026-09-24,SZDPER.481,"Glidden, Carlos",removed
2026-09-24,SZDPER.483,"Glück, Gustav",removed
2026-09-24,SZDPER.485,"Goebbels, Joseph",removed
2026-09-24,SZDPER.491,"Gogh, Vincent van",removed
2026-09-24,SZDPER.499,"Göring, Hermann",removed
2026-09-24,SZDPER.506,"Goya, Francisco de",removed
2026-09-24,SZDPER.518,"Grey, Edward",removed
2026-09-24,SZDPER.530,"Grünewald, Matthias",removed
2026-09-24,SZDPER.534,"Gallenberg, Julia von",removed
2026-09-24,SZDPER.542,"Haber, Fritz",removed
2026-09-24,SZDPER.546,"Halifax, Edward Frederick Lindley Wood of",removed
2026-09-24,SZDPER.555,"Hanslick, Eduard",removed
2026-09-24,SZDPER.559,"Hardy, Thomas",removed
2026-09-24,SZDPER.561,"Hartmann, Eduard von",removed
2026-09-24,SZDPER.580,"Hegel, Georg Wilhelm Friedrich",removed
2026-09-24,SZDPER.583,"Heinrich IV., Frankreich, König",removed
2026-09-24,SZDPER.600,"Herron, George Davis",removed
2026-09-24,SZDPER.603,"Hertz, Heinrich",removed
2026-09-24,SZDPER.605,"Herzen, Alexander",removed
2026-09-24,SZDPER.607,"Hess, Rudolf",removed
2026-09-24,SZDPER.612,"Heymel, Alfred Walter",removed
2026-09-24,SZDPER.631,"Hohenberg, Ernst von",removed
2026-09-24,SZDPER.632,"Hohenberg, Maximilian von",removed
2026-09-24,SZDPER.640,"Horovitz, Leopold",removed
2026-09-24,SZDPER.650,"Hugenberg, Alfred",removed
2026-09-24,SZDPER.651,"Hughes, David Edward",removed
2026-09-24,SZDPER.660,"Iffland, August Wilhelm",removed
2026-09-24,SZDPER.663,"Izambard, Georges",removed
2026-09-24,SZDPER.666,"Jacobowski, Ludwig",removed
2026-09-24,SZDPER.678,"Jodl, Friedrich",removed
2026-09-24,SZDPER.679,"Johann II, Fürst von Liechtenstein",removed
2026-09-24,SZDPER.681,"John I., König von England",removed
2026-09-24,SZDPER.686,"Joseph II., Kaiser des Heiligen Römischen Reiches",removed
2026-09-24,SZDPER.699,"Kálmán, Emmerich",removed
2026-09-24,SZDPER.701,"Kapp, Wolfgang",removed
2026-09-24,SZDPER.703,"Karl I., Kaiser von Österreich",removed
2026-09-24,SZDPER.705,"Karsavina, Tamara P.",removed
2026-09-24,SZDPER.726,"Khnopff, Fernand",removed
2026-09-24,SZDPER.727,"Kierkegaard, Søren",removed
2026-09-24,SZDPER.739,"Klimt, Gustav",removed
2026-09-24,SZDPER.766,"Krupp von Bohlen und Halbach, Gustav",removed
2026-09-24,SZDPER.769,"Kun, Béla",removed
2026-09-24,SZDPER.781,"Lansing, Robert",removed
2026-09-24,SZDPER.784,"Larmeroux, Jean",removed
2026-09-24,SZDPER.786,"Laski, Harold Joseph",removed
2026-09-24,SZDPER.800,"Leibl, Wilhelm",removed
2026-09-24,SZDPER.808,"Lenbach, Franz von",removed
2026-09-24,SZDPER.814,"Leopold II., Kaiser des Heiligen Römischen Reiches",removed
2026-09-24,SZDPER.837,"Lister, Joseph",removed
2026-09-24,SZDPER.841,"Paris Lodron, Erzbischof von Salzburg",removed
2026-09-24,SZDPER.849,"Loti, Pierre",removed
2026-09-24,SZDPER.851,"Louis Philippe II., Herzog von Orléans",removed
2026-09-24,SZDPER.860,"Ludendorff, Erich",removed
2026-09-24,SZDPER.861,"Ludwig XIV., König von Frankreich",removed
2026-09-24,SZDPER.868,"Lueger, Karl",removed
2026-09-24,SZDPER.871,"Lumière, Louis",removed
2026-09-24,SZDPER.872,"Lunatscharski, Anatoli",removed
2026-09-24,SZDPER.873,"Lunt, Alfred",removed
2026-09-24,SZDPER.878,"Macartney, Carlile A.",removed
2026-09-24,SZDPER.900,Mark Aurel,removed
