layer,kind,old_iri,new_iri,name_source,note
nachlass,ObjectProperty,https://w3id.org/nachlass#hatAutor,https://w3id.org/nachlass#author,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#hatBeilage,https://w3id.org/nachlass#hasEnclosure,generic English name,
nachlass,ObjectProperty,https://w3id.org/nachlass#hatBeteiligtenAkteur,https://w3id.org/nachlass#partyInvolved,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#hatBetroffenePerson,https://w3id.org/nachlass#affectedPerson,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#hatDigitalesObjekt,https://w3id.org/nachlass#hasDigitalObject,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#hatEmpfaenger,https://w3id.org/nachlass#receiver,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#hatEntstehungsort,https://w3id.org/nachlass#hasPlaceOfOrigin,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#hatExemplar,https://w3id.org/nachlass#hasItem,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#hatExpression,https://w3id.org/nachlass#hasExpression,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#hatFaksimile,https://w3id.org/nachlass#hasFacsimile,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#hatHerausgeber,https://w3id.org/nachlass#editor,same as szdo,
